"rowid","votereg","inputregstate","region","division","CONSENT","TAX_rate","STATE_DC","STATE_PR","SEXWORK","LOCALNEWS","REDFLAG","STUDEBT","GND","BDS","PRISVOTE","PROSPAY","FEES","SSCAP","OVERTIME","FOURDAY","TELMED","MINWAGE","WEALTAX","NAMEANYDEM","NAMEANYREP","employ","job","work_employees","work_comp","pp_daily_intuse_work","work_customers","work_benefits","work_pay","jobsec","side_job_US_1","side_job_US_2","side_job_US_3","side_job_US_4","side_job_US_5","side_job_US_6","side_job_US_7","side_job_US_8","employ_worktype","employ_worktype_other","NRSCLASS","DOWORK","WORKDIVERSE","WORKSAFE","class_neighbor","parents_ed","PAID","class_open","KARNOSKI","REGENTS","PICS","SHELBY","BURWELL","REDISTRICTING","SCOTUSQ1","SCOTUSQ2","SCOTUSGRID_split","roberts1","thomas1","sotomayor1","ginsberg1","kavanaugh1","kagan1","alito1","breyer1","gorsuch1","roberts2","thomas2","sotomayor2","ginsberg2","kavanaugh2","kagan2","alito2","breyer2","gorsuch2","COURTVIEW","COURTAPPROVE","PRES_APP","pid3","pid3_t","pid7","dtrpsupp","ideo5","turnout16","presvote16post","presvote16post_t","djtrelct","turnout18post","housevote18post","housevote18post_t","fin_emerg","fin_checking","fin_savings","fin_cashing","fin_cc","fin_loan","fin_car","fin_sticks","HOME_OWN","OPIOID","union_combined_1","union_combined_5","union_combined_2","union_combined_6","union_combined_3","union_combined_4","birthyr","age5","educ","educ4","educ2","race","race_t","race4","race2","hispanic","faminc_new","urban","GENDER_4","GENDER4_open","weight"
308,1,39,2,3,1,1,5,5,NA,5,1,5,5,3,5,5,5,1,1,5,5,5,1,"pelosi","none",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,6,"working hard",2,2,2,2,1,2,12,"do not know",1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,4,1,NA,1,NA,5,1,1,NA,2,1,1,NA,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,1954,5,3,2,1,1,NA,1,1,2,3,1,2,NA,0.5496
309,1,1,3,6,1,2,1,1,1,2,1,1,1,4,1,1,1,1,1,3,1,2,1,"Alexandria Oscario-Cortez","Susan Collins",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,"Living paycheck to paycheck, one disaster away from poverty",1,1,2,2,1,2,9,"Roberts",2,3,5,2,1,5,2,3,2,4,4,5,2,1,5,1,4,2,5,2,4,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,1954,5,4,2,1,1,NA,1,1,2,10,2,2,NA,0.5429
310,1,34,1,2,1,2,3,5,3,2,3,1,1,5,1,3,3,1,1,1,1,1,1,"Cortez","",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,"to be fully proletarianized",1,1,3,2,1,2,9,"Roberts",2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,4,"Communist",4,NA,1,1,4,NA,2,2,NA,NA,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1990,1,3,2,1,1,NA,1,1,2,4,2,1,NA,2.6616
311,1,41,4,9,1,5,6,6,2,6,1,1,1,4,2,2,2,2,6,1,1,1,1,"Kamala Harris","susan collins",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,"It means to be the folks that get up and do the hard work that others will not do, to be trodden upon by the upper class folks that are very out of touch with how hard it is to get by today, the greed is out of control! On some level is also sadly means to be ignorant of how much the system is against working class.",1,1,1,2,1,1,8,"Ginsberg",1,4,5,1,1,5,1,5,6,5,4,4,2,2,5,2,4,4,5,2,5,5,1,NA,1,NA,1,1,1,NA,2,1,1,NA,1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1964,4,3,2,1,1,NA,1,1,2,7,2,2,NA,0.5956
312,1,17,2,3,1,3,5,5,3,5,2,5,5,1,5,4,4,1,1,6,5,5,4,"warren","hammond",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,"People who work for a paycheck at an hourly wage. They make ends meet.",2,2,1,3,2,2,9,"thomas",2,1,1,5,5,1,5,1,3,1,4,4,1,1,5,2,5,2,5,1,2,1,2,NA,7,1,4,1,2,NA,1,1,2,NA,1,1,1,2,1,1,1,2,1,3,2,2,2,2,1,2,1949,5,3,2,1,1,NA,1,1,2,7,3,1,NA,0.7593
313,1,53,4,9,1,2,2,3,5,3,5,1,4,4,5,4,2,2,2,3,5,5,2,"Don't know","Maria cantwell",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,"Someone who lives paycheck to paycheck",2,3,2,1,2,1,7,"Don't know",2,1,1,4,2,1,4,1,2,1,3,3,6,6,3,6,3,6,3,2,2,2,2,NA,7,4,4,1,2,NA,1,1,2,NA,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,1971,3,3,2,1,1,NA,1,1,2,1,1,2,NA,0.5956
314,1,53,4,9,1,3,3,2,2,4,1,5,2,3,4,2,5,1,1,3,2,5,2,"Patty Murray","No idea",1,NA,1,1,3,3,1,3,3,2,2,2,2,2,2,1,2,5,NA,2,"CFO and IT",2,1,1,3,3,"That you make enough to get by but cannot build up savings",1,1,1,2,2,2,9,"",1,3,4,3,2,4,3,3,3,3,6,4,2,2,5,2,4,6,4,2,3,5,1,NA,2,NA,3,1,1,NA,2,1,1,NA,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,1959,4,6,4,2,1,NA,1,1,2,11,2,1,NA,0.8795
315,1,32,4,8,1,6,6,6,3,3,1,3,6,6,3,3,2,3,1,1,6,2,1,"","",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,"",1,3,3,3,3,3,NA,"",2,3,3,1,1,6,1,3,1,6,3,4,2,2,5,1,3,NA,5,1,3,5,1,NA,1,NA,3,2,7,NA,2,2,NA,NA,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,1,2,1950,5,1,1,1,1,NA,1,1,2,97,2,2,NA,1.0442
316,1,50,1,1,1,3,2,2,2,2,4,2,2,5,4,2,2,2,4,4,2,4,1,"Harris","Collins",1,NA,1,1,2,1,1,3,4,2,2,2,2,2,2,1,2,16,NA,3,"Profwssor",3,1,2,3,3,"Insecurity",1,1,2,2,1,2,9,"Roberts",1,1,4,3,2,6,1,3,1,2,3,5,1,1,5,2,5,2,5,2,2,5,1,NA,2,NA,2,1,1,NA,2,1,1,NA,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1973,3,6,4,2,4,NA,4,2,2,12,3,2,NA,0.6548
317,1,48,3,7,1,3,6,NA,5,5,1,5,5,1,5,2,4,2,1,6,5,5,2,"nancy pelosi","Susan Collins",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,"Those that go out & work daily to support themselves & their family. Generally annual income less than $50,000 a year",2,2,1,NA,2,2,9,"Roberts",2,2,1,4,4,1,5,1,3,1,4,5,1,1,5,1,4,2,5,NA,2,2,2,NA,7,1,4,1,2,NA,1,1,2,NA,1,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,1941,5,3,2,1,1,NA,1,1,2,6,1,2,NA,0.8464
318,1,42,1,2,1,2,6,2,3,4,2,4,3,3,5,3,3,1,2,3,3,3,1,"","",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,"Blue collar workers",1,2,NA,3,1,3,12,"",2,3,3,2,2,2,3,3,3,3,6,6,6,6,6,6,6,6,6,1,3,NA,1,NA,1,NA,3,1,1,NA,2,1,1,NA,1,2,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1954,5,3,2,1,1,NA,1,1,2,97,1,2,NA,0.4947
319,1,34,1,2,1,6,4,2,4,5,2,5,4,3,2,5,4,2,2,3,4,5,5,"Nancy ""Wrinkles"" Pelosi","Lisa Murkowski",2,NA,2,1,3,1,3,1,3,2,2,2,2,2,2,1,2,24,"assistant to a crippled vet",NA,"I assist a wheelchair bound veteran in his non-ADL needs",1,1,2,3,4,"Since Obama's presidency, living by the skin of our teeth & hoping to stay middle class, but that's been improving under President Trump",2,2,3,3,2,2,9,"roberts?",1,4,1,3,5,2,3,3,3,3,3,5,2,1,4,1,4,2,4,2,3,1,2,NA,7,2,4,1,2,NA,1,1,2,NA,1,1,1,2,1,1,1,2,1,2,2,2,2,1,2,2,1974,3,5,3,2,6,NA,4,2,2,97,2,2,NA,0.7323
320,1,16,4,8,1,1,5,2,5,4,4,2,4,2,4,2,5,1,2,3,2,4,1,"Nancy Pelosi","McClusky",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,"Earning 60,000 dollars a year or less.",1,1,1,2,1,2,9,"",2,2,5,1,1,5,1,4,1,5,3,5,2,2,5,2,5,2,5,1,2,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,1,1,1,2,2,2,1,2,3,2,2,2,2,2,1,2,1947,5,3,2,1,1,NA,1,1,2,2,2,1,NA,0.5339
321,1,8,4,8,1,3,5,4,5,5,4,5,5,1,5,2,2,1,1,5,5,5,5,"Sen. Diane Feinstein","Cong. Liz Cheney, WY",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,"Anyone receiving hourly wages, using 75% or more to pay expenses.",2,2,1,1,2,1,9,"Roberts",2,4,1,5,5,2,5,1,4,2,4,5,1,1,4,1,4,2,4,1,2,1,2,NA,7,1,5,1,2,NA,1,1,2,NA,1,1,1,2,1,2,1,2,1,2,2,2,2,2,1,2,1956,4,5,3,2,1,NA,1,1,2,6,2,2,NA,0.515
322,1,36,1,2,1,1,1,1,6,6,1,1,1,5,1,1,3,6,2,2,1,1,1,"Kisten Gillebrand","Blackburn",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,"Have a job with less than minimum wage. Maybe survive below poverty line.",1,1,2,2,1,2,9,"Roberts",2,3,3,1,1,5,1,5,2,2,3,4,2,1,5,2,4,3,5,2,4,5,1,NA,1,NA,1,1,1,NA,2,1,1,NA,2,1,NA,2,2,2,1,2,2,2,2,2,2,2,1,2,1939,5,6,4,2,1,NA,1,1,2,2,2,2,NA,0.9348
323,1,6,4,9,1,2,1,1,1,2,1,1,1,5,1,1,1,1,1,1,2,4,1,"Elizabeth Warren","Susan Collins",1,NA,2,1,1,1,3,3,1,1,1,2,2,2,1,2,2,11,NA,1,"Imports",1,1,2,1,6,"To be poor",1,2,2,2,1,2,9,"Roberts",2,3,5,1,1,5,2,5,1,5,4,5,3,2,5,3,5,3,5,2,3,5,3,NA,3,NA,1,1,1,NA,2,1,1,NA,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,1983,2,5,3,2,6,NA,4,2,1,11,2,2,NA,0.4879
324,1,4,4,8,1,2,6,2,6,2,1,1,2,5,6,2,2,1,2,3,1,6,1,"Kyrsten Sinema","Martha McSally",1,NA,2,3,4,3,3,5,4,2,2,2,2,2,2,2,1,24,"retired",NA,"I am retired",2,1,2,2,4,"",1,1,2,2,1,2,9,"Roberts",2,3,5,2,1,5,1,4,2,5,4,5,1,1,5,2,5,3,5,2,4,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1957,4,5,3,2,1,NA,1,1,2,9,1,2,NA,0.515
325,1,42,1,2,1,3,5,1,2,5,2,5,1,3,5,1,5,5,2,5,4,5,5,"warren","joni ernst",1,NA,1,1,4,3,1,3,4,2,2,2,2,2,2,1,2,7,NA,1,"director it",2,1,2,3,3,"work daily",2,2,3,1,2,1,9,"roberts",2,3,3,3,3,3,3,3,3,3,3,2,4,2,4,4,4,2,4,2,3,2,3,NA,4,NA,2,1,2,NA,1,1,1,NA,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,2,1953,5,6,4,2,1,NA,1,1,2,9,2,1,NA,0.8284
326,1,4,4,8,1,2,6,4,3,5,1,5,5,2,5,5,5,5,1,1,2,4,1,"Nancy Pelosi","Martha McSally",1,NA,1,1,4,1,2,1,1,2,2,2,2,2,2,1,2,18,NA,4,"Law Enforcement",1,2,2,5,5,"working 40 hrs a week in common jobs.",2,2,2,2,2,3,7,"Roberts",1,3,3,5,4,1,3,3,3,1,4,4,2,2,5,6,4,2,5,2,4,1,2,NA,7,4,4,1,2,NA,1,1,2,NA,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,1965,4,4,2,1,1,NA,1,1,2,6,3,1,NA,0.7729
327,1,36,1,2,1,1,1,1,1,3,1,1,1,3,4,1,2,1,1,3,1,1,1,"Gillebrand","Kelly Ayotte",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,"poor",1,1,1,1,1,1,9,"aleto",2,2,2,1,1,5,1,2,1,5,4,3,2,2,5,2,4,2,5,2,5,5,1,NA,2,NA,3,1,1,NA,2,1,1,NA,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1963,4,3,2,1,1,NA,1,1,2,1,1,1,NA,0.7579
328,1,23,1,1,1,2,2,2,2,2,1,1,1,5,2,1,1,1,4,5,1,2,5,"Elizabeth Warren","Susan Collins",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,"Without a college education. Frequently working a low-skilled job or jobs that pay minimum wage or not much above it. Jobs likely have poor or no benefits, and frequently employers deliberately limit hours to avoid having to offer benefits. Sharing a working class cultural perspective accompanied by limited family assets. In other words not an upper-middle class kid or the like working a low-paid job.",1,1,2,2,1,2,9,"Roberts",1,4,5,1,1,3,1,5,1,3,4,5,2,2,4,2,5,2,4,2,5,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,1953,5,5,3,2,1,NA,1,1,2,10,2,2,NA,1.1365
329,1,24,3,5,1,3,1,1,4,6,1,1,2,3,4,2,2,1,2,3,1,1,1,"nancy pelosi","susan collins",1,NA,2,1,1,3,1,3,2,2,2,2,2,2,2,1,2,24,"software tester",NA,"test software after patches are applied to ensure it is still functioning, test newly installed software to ensure it meets requirements and functions as expected, write test plans, test scripts, test reports",2,1,2,4,4,"making between $35,000 - $150,000 a year if you are single",1,1,2,3,1,2,9,"Roberts",2,3,5,1,1,5,1,3,3,5,4,5,2,1,5,6,6,6,5,2,3,5,1,NA,1,NA,3,1,1,NA,2,1,2,NA,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1956,4,6,4,2,1,NA,1,1,2,10,2,2,NA,0.8063
330,1,12,3,5,1,3,2,2,2,3,1,1,2,3,3,2,2,4,1,3,3,4,3,"uvanka","ivanka trunp",1,NA,1,1,1,2,1,1,3,2,1,2,2,2,2,2,2,2,NA,4,"gamer",1,1,3,3,4,"",1,3,3,3,3,2,5,"",2,3,1,2,2,2,3,2,1,3,3,2,2,3,2,4,3,3,3,1,2,2,2,NA,6,3,4,1,2,NA,1,1,2,NA,1,1,1,2,1,1,1,1,1,3,2,2,2,2,1,2,1989,2,5,3,2,1,NA,1,1,2,11,1,1,NA,0.5739
331,1,53,4,9,1,2,2,2,4,2,1,1,1,5,3,2,3,1,1,3,3,3,1,"Maria Cantrell","Martha McSally",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,"Working class: full-time employment providing an income at or below the median income for the United States.",1,1,2,2,1,2,9,"Roberts",2,3,5,1,1,5,1,4,2,4,4,5,2,2,5,2,5,3,4,1,3,5,3,NA,3,NA,3,1,1,NA,2,1,1,NA,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,1952,5,6,4,2,6,NA,4,2,2,12,2,1,NA,0.4943
332,1,26,2,3,1,1,1,1,3,1,1,1,1,5,1,1,1,1,1,3,1,1,1,"Debbie Stabenow","Susan Collins",1,NA,1,1,2,1,3,3,4,2,2,2,2,2,2,1,2,11,NA,1,"Program Director. Recruit schools. Train teachers. Support programs. Conference planning.",1,1,2,3,6,"The working class built our country and our country would not exist if it wasn't for their work. Unfortunately, we do not treat our working class well and the unions have almost been destroyed.",1,1,3,2,1,2,9,"",1,5,4,1,1,5,1,5,2,5,5,4,2,2,5,2,5,3,2,2,4,5,3,NA,3,NA,1,1,1,NA,2,1,1,NA,1,1,1,2,1,2,1,1,1,2,2,1,2,2,2,2,1970,3,6,4,2,1,NA,1,1,2,14,2,1,NA,1.2363
333,1,12,3,5,1,1,4,2,5,5,1,1,1,5,1,2,2,1,2,3,1,1,1,"nancy pelosi","",1,NA,1,1,2,1,1,3,3,1,2,2,2,2,2,2,2,10,NA,3,"controller",1,1,2,1,3,"trying to survive.",1,1,1,2,1,2,9,"roberts",1,3,5,2,2,5,2,5,2,5,4,5,3,3,5,3,5,3,5,2,5,5,1,NA,2,NA,3,1,1,NA,2,1,1,NA,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,2,1967,4,6,4,2,1,NA,1,1,2,7,2,2,NA,0.9411
334,1,8,4,8,1,1,1,1,3,2,1,1,2,5,1,2,6,6,3,2,4,3,1,"Elizabeth Warren","Joni Ernst",1,NA,2,1,1,1,1,1,3,2,1,2,2,2,2,2,2,15,NA,3,"Customer service",1,1,2,1,3,"Having to work to provide for self and family",1,1,1,3,1,2,9,"Roberts",1,3,5,1,1,5,1,6,6,5,3,5,2,2,6,2,6,6,4,1,2,5,1,NA,1,NA,1,1,1,NA,2,1,1,NA,2,1,1,3,1,2,1,2,2,2,2,2,2,2,1,2,1958,4,5,3,2,1,NA,1,1,2,97,2,1,NA,0.7891
335,1,17,2,3,1,2,2,2,3,3,1,2,2,3,4,4,3,2,3,5,2,4,1,"pelosi","collins",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,"I don't know",1,1,3,3,2,2,9,"roberts",2,2,5,1,1,5,2,4,3,3,4,5,1,1,5,2,4,2,5,1,3,5,3,NA,4,NA,3,1,1,NA,2,1,1,NA,1,1,1,2,1,2,2,1,1,2,2,2,2,2,1,2,1965,4,3,2,1,1,NA,1,1,2,10,2,1,NA,1.0991
336,1,41,4,9,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,"Kamala Harris","Jodi Earnst",1,NA,1,1,2,3,1,3,3,2,2,2,2,2,2,1,2,8,NA,1,"Virologist",1,1,2,3,5,"Poor and at the whims of wall street banks and politicians, i.e. the market based economy.",1,1,3,2,1,2,9,"Roberts",2,4,5,2,2,5,2,5,2,5,4,5,2,2,5,2,5,2,5,2,5,5,4,"Socialist",4,NA,1,1,6,NA,2,1,1,NA,1,1,2,2,1,2,1,1,2,1,2,2,1,2,2,2,1975,3,6,4,2,1,NA,1,1,2,7,1,1,NA,0.8526
337,1,48,3,7,1,2,2,4,5,5,6,3,4,6,5,2,6,1,6,2,5,2,6,"Nancy Pelosi","",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,"Anyone who makes $30,000.00 or less",2,2,1,3,2,3,9,"",2,6,6,6,4,6,6,6,6,6,6,6,6,2,6,6,6,6,6,1,4,2,2,NA,7,4,4,1,2,NA,3,1,2,NA,1,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,1958,4,4,2,1,1,NA,1,1,2,3,2,2,NA,0.5429
338,1,22,3,7,1,3,5,2,3,4,5,5,5,1,5,5,4,2,5,1,5,5,2,"Nancy Pelosi","Kim Reynolds",1,NA,1,1,2,1,1,3,4,2,2,2,2,2,2,1,2,3,NA,4,"Own a oilfield construction company",1,1,2,3,1,"middle class",2,2,1,1,2,3,9,"Roberts",1,1,1,5,5,1,5,1,5,1,4,4,1,1,4,1,4,1,4,1,2,1,3,NA,5,1,4,1,2,NA,1,1,2,NA,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,1959,4,3,2,1,1,NA,1,1,2,11,3,1,NA,0.8319
339,1,1,3,6,1,6,6,3,3,3,4,4,4,5,4,3,3,3,2,3,3,3,4,"Debbie walsh","Deborah Fischer",1,NA,1,1,3,2,2,1,3,2,2,2,2,2,2,1,2,24,"Guard",NA,"Guard",2,3,1,5,3,"Paycheck to paycheck",1,2,2,1,2,2,9,"Thomas",2,4,4,1,1,3,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,"Mixed",4,NA,4,2,7,NA,2,1,5,NA,1,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1970,3,3,2,1,2,NA,2,2,2,4,1,2,NA,1.2458
340,1,55,2,3,1,1,6,6,5,5,2,2,5,6,5,5,5,1,1,3,5,4,1,"","",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,"I believe it means working to support the ridiculous salaries of congress & senate!",2,2,1,3,3,3,NA,"",1,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,2,5,1,2,NA,7,1,6,1,2,NA,1,1,2,NA,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1958,4,4,2,1,1,NA,1,1,2,97,3,2,NA,0.5496
341,1,40,3,7,1,3,6,6,5,5,4,5,5,2,4,5,4,6,4,3,5,5,6,"Kendra Horn","Martha Mcsally",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,"Often, working class people live paycheck to paycheck and have blue collar jobs.",2,2,3,3,2,3,9,"Roberts",2,3,1,3,3,1,3,3,3,1,3,4,1,1,4,2,3,3,4,1,3,1,2,NA,7,2,5,1,2,NA,1,1,2,NA,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1953,5,3,2,1,1,NA,1,1,2,97,2,2,NA,0.8464
342,1,53,4,9,1,2,6,1,5,5,1,1,1,4,2,1,4,1,1,2,2,5,1,"Senator Patty Murray","Cathy McMorris",1,NA,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,10,NA,3,"Secretary: reception, purchasing, administrative support",1,3,2,4,3,"Physical labor job without benefits or retirement plans.",1,1,2,2,1,2,9,"",1,2,5,1,1,5,1,5,1,5,4,4,3,3,5,3,5,2,5,2,4,5,4,"Progressive",3,NA,3,1,1,NA,2,1,1,NA,2,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,1976,3,5,3,2,7,NA,4,2,2,9,2,2,NA,0.5722
343,1,48,3,7,1,2,3,6,5,4,6,4,2,6,1,3,6,6,2,6,5,3,2,"jill","none",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,"people that live paycheck by paycheck",3,3,1,3,3,3,8,"don't know",1,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,2,4,5,3,NA,4,NA,3,1,1,NA,2,1,1,NA,2,1,2,1,2,2,1,2,2,3,2,1,2,2,2,2,1965,4,2,1,1,3,NA,3,2,1,1,3,2,NA,1.2628
344,1,27,2,4,1,1,3,NA,3,2,2,1,1,1,5,1,1,3,5,1,1,1,1,"Any Klobacher","",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,"Poor",1,1,1,2,1,2,9,"",2,2,4,1,1,5,1,3,3,5,4,3,3,3,5,3,4,6,5,2,4,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,2,1,1,2,1,2,1,2,2,1,2,2,2,2,1,2,1964,4,3,2,1,1,NA,1,1,2,6,3,2,NA,0.8469
345,1,1,3,6,1,3,5,5,5,5,4,4,5,4,5,4,4,4,5,4,5,5,4,"Pelosi","Rep McCain",1,NA,1,1,2,3,1,3,4,2,2,2,2,2,2,1,2,17,NA,2,"Publish books",2,1,2,3,2,"Generally working at a blue collar job",2,2,1,1,2,3,9,"Roberts",2,2,1,5,5,2,5,1,4,2,4,5,1,1,4,1,5,3,4,1,2,2,2,NA,7,3,5,1,2,NA,1,1,2,NA,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1951,5,6,4,2,1,NA,1,1,2,9,2,1,NA,0.9092
346,1,6,4,9,1,1,2,2,2,3,1,1,2,3,4,6,2,1,4,2,1,1,1,"Harris","Collens",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,"poor",1,1,3,2,1,2,9,"Roberts",2,3,5,2,1,5,2,4,2,5,3,5,2,1,5,2,4,2,5,2,4,5,3,NA,3,NA,2,1,1,NA,2,1,1,NA,2,1,1,2,1,2,1,2,1,1,2,2,2,2,1,2,1943,5,5,3,2,1,NA,1,1,2,97,1,1,NA,0.7869
347,1,49,4,8,1,5,5,2,1,5,5,5,5,1,5,3,5,1,2,5,5,5,5,"Jackie Biskupski","Liz Cheney",1,NA,2,2,4,1,1,1,4,2,2,2,2,2,2,1,2,24,"Transportation",NA,"Truck Driver delivering medical supplies to clinics, hospitals, and patient homes.",1,1,2,2,1,"No idea. My occupation is physically demanding and I make enough money to be middle class.",2,2,1,1,2,2,9,"Roberts",1,5,1,2,1,1,5,1,5,1,3,5,1,1,4,1,4,2,4,2,3,1,2,NA,7,1,5,1,2,NA,1,1,2,NA,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1984,2,3,2,1,1,NA,1,1,2,9,3,1,NA,1.2557
348,1,6,4,9,1,2,1,1,4,3,1,3,2,3,4,1,2,1,2,3,2,3,2,"Kamala Harris","Nancy Pelosi",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,"Anyone who has a full time job, who requires employment income in order to support themselves and their families; any working person who lacks sufficient wealth to survive without a job.",1,1,3,2,1,2,8,"Roberts",1,1,5,1,1,4,1,4,3,2,3,5,2,2,5,2,4,4,4,1,2,5,1,NA,1,NA,3,1,1,NA,2,1,1,NA,1,1,1,2,1,2,1,1,1,3,2,1,2,2,2,2,1940,5,5,3,2,1,NA,1,1,2,97,2,2,NA,0.888
